Rank,Release Group,Worldwide Gross,Domestic Gross,Domestic %,Foreign Gross,Foreign %
1,Inside Out 2,"$1,698,863,816","$652,980,194",38.4%,"$1,045,883,622",61.6%
2,Deadpool & Wolverine,"$1,338,073,645","$636,745,858",47.6%,"$701,327,787",52.4%
3,Moana 2,"$1,012,230,932","$445,130,932",44%,"$567,100,000",56%
4,Despicable Me 4,"$969,126,452","$361,004,205",37.3%,"$608,122,247",62.7%
5,Dune: Part Two,"$714,444,358","$282,144,358",39.5%,"$432,300,000",60.5%
6,Wicked,"$709,657,255","$465,524,255",65.6%,"$244,133,000",34.4%
7,Mufasa: The Lion King,"$591,998,338","$209,798,338",35.4%,"$382,200,000",64.6%
8,Godzilla x Kong: The New Empire,"$571,750,016","$196,350,016",34.3%,"$375,400,000",65.7%
9,Kung Fu Panda 4,"$547,689,492","$193,590,620",35.3%,"$354,098,872",64.7%
10,Venom: The Last Dance,"$478,455,108","$139,755,882",29.2%,"$338,699,226",70.8%
11,Gladiator II,"$458,718,000","$172,118,000",37.5%,"$286,600,000",62.5%
12,Beetlejuice Beetlejuice,"$451,100,435","$294,100,435",65.2%,"$157,000,000",34.8%
13,Sonic the Hedgehog 3,"$422,398,000","$218,898,000",51.8%,"$203,500,000",48.2%
14,Bad Boys: Ride or Die,"$404,547,819","$193,573,217",47.8%,"$210,974,602",52.2%
15,Kingdom of the Planet of the Apes,"$397,378,150","$171,130,165",43.1%,"$226,247,985",56.9%
16,Twisters,"$370,962,265","$267,762,265",72.2%,"$103,200,000",27.8%
17,It Ends with Us,"$350,993,761","$148,518,266",42.3%,"$202,475,495",57.7%
18,Alien: Romulus,"$350,865,342","$105,313,091",30%,"$245,552,251",70%
19,The Wild Robot,"$324,730,010","$143,621,010",44.2%,"$181,109,000",55.8%
20,A Quiet Place: Day One,"$261,786,322","$138,930,553",53.1%,"$122,855,769",46.9%
21,The Garfield Movie,"$234,573,690","$91,956,547",39.2%,"$142,617,143",60.8%
22,Joker: Folie à Deux,"$206,400,287","$58,300,287",28.2%,"$148,100,000",71.8%
23,Ghostbusters: Frozen Empire,"$201,967,521","$113,376,590",56.1%,"$88,590,931",43.9%
24,IF,"$190,309,707","$111,149,917",58.4%,"$79,159,790",41.6%
25,Red One,"$185,700,759","$97,000,759",52.2%,"$88,700,000",47.8%
26,The Fall Guy,"$181,073,291","$92,900,355",51.3%,"$88,172,936",48.7%
27,Bob Marley: One Love,"$180,828,556","$96,893,170",53.6%,"$83,935,386",46.4%
28,Furiosa: A Mad Max Saga,"$173,775,791","$67,475,791",38.8%,"$106,300,000",61.2%
29,Nosferatu,"$156,436,000","$90,201,000",57.7%,"$66,235,000",42.3%
30,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%
31,Smile 2,"$138,083,280","$68,967,012",49.9%,"$69,116,268",50.1%
32,Transformers One,"$129,364,141","$59,054,170",45.6%,"$70,309,971",54.4%
33,Civil War,"$127,262,644","$68,756,072",54%,"$58,506,572",46%
34,Longlegs,"$126,942,386","$74,346,140",58.6%,"$52,596,246",41.4%
35,Detective Conan: The Million-Dollar Pentagram,"$108,136,957",-,-,"$108,136,957",100%
36,Mean Girls,"$104,793,431","$72,404,248",69.1%,"$32,389,183",30.9%
37,Madame Web,"$100,498,764","$43,817,106",43.6%,"$56,681,658",56.4%
38,Haikyu!! The Dumpster Battle,"$100,255,784","$7,071,622",7.1%,"$93,184,162",92.9%
39,Argylle,"$96,221,061","$45,207,275",47%,"$51,013,786",53%
40,Challengers,"$96,019,408","$50,119,408",52.2%,"$45,900,000",47.8%
41,Exhuma,"$93,891,418","$2,310,900",2.5%,"$91,580,518",97.5%
42,Terrifier 3,"$88,673,667","$53,981,071",60.9%,"$34,692,596",39.1%
43,A Little Something Extra,"$84,071,816",-,-,"$84,071,816",100%
44,Trap,"$82,677,281","$42,777,281",51.7%,"$39,900,000",48.3%
45,The Roundup: Punishment,"$80,426,848","$1,154,475",1.4%,"$79,272,373",98.6%
46,Speak No Evil,"$76,756,109","$36,931,420",48.1%,"$39,824,689",51.9%
47,The Substance,"$76,506,196","$16,774,179",21.9%,"$59,732,017",78.1%
48,Conclave,"$76,454,684","$31,730,000",41.5%,"$44,724,684",58.5%
49,The Count of Monte-Cristo,"$75,709,813","$478,167",0.6%,"$75,231,646",99.4%
50,Paddington in Peru,"$72,800,000",-,-,"$72,800,000",100%
51,Kraven the Hunter,"$60,827,405","$24,737,000",40.7%,"$36,090,405",59.3%
52,A Complete Unknown,"$58,418,504","$58,379,001",99.9%,"$39,503",<0.1%
53,Night Swim,"$54,768,317","$32,494,740",59.3%,"$22,273,577",40.7%
54,Kingdom 4: Return of the Great General,"$54,114,815",-,-,"$54,114,815",100%
55,The First Omen,"$53,845,880","$20,092,802",37.3%,"$33,753,078",62.7%
56,"I, the Executioner","$53,453,611","$388,067",0.7%,"$53,065,544",99.3%
57,Coraline 15th Anniversary,"$52,371,887","$33,626,425",64.2%,"$18,745,462",35.8%
58,Heretic,"$52,026,655","$27,728,647",53.3%,"$24,298,008",46.7%
59,Back to Black,"$51,022,435","$6,178,165",12.1%,"$44,844,270",87.9%
60,Tarot,"$49,256,239","$18,771,004",38.1%,"$30,485,235",61.9%
61,The Strangers: Chapter 1,"$48,166,448","$35,202,562",73.1%,"$12,963,886",26.9%
62,Blink Twice,"$46,393,906","$23,093,906",49.8%,"$23,300,000",50.2%
63,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"$44,354,825","$17,657,658",39.8%,"$26,697,167",60.2%
64,Imaginary,"$43,787,034","$28,009,161",64%,"$15,777,873",36%
65,We Live in Time,"$42,824,401","$24,690,031",57.7%,"$18,134,370",42.3%
66,Abigail,"$42,791,449","$25,867,515",60.5%,"$16,923,934",39.5%
67,Fly Me to the Moon,"$42,247,783","$20,532,222",48.6%,"$21,715,561",51.4%
68,Arthur the King,"$40,856,051","$25,049,006",61.3%,"$15,807,045",38.7%
69,The Forge,"$40,392,664","$29,123,632",72.1%,"$11,269,032",27.9%
70,The Best Christmas Pageant Ever,"$40,262,167","$40,048,808",99.5%,"$213,359",0.5%
71,Horizon: An American Saga - Chapter 1,"$38,235,702","$29,035,702",75.9%,"$9,200,000",24.1%
72,Interstellar 2024 Re-release,"$37,892,261","$15,207,563",40.1%,"$22,684,698",59.9%
73,Last Mile,"$37,164,152",-,-,"$37,164,152",100%
74,The Bikeriders,"$36,148,740","$21,746,895",60.2%,"$14,401,845",39.8%
75,Mobile Suit Gundam SEED Freedom,"$36,038,764",-,-,"$36,038,764",100%
76,Beating Hearts,"$35,707,723",-,-,"$35,707,723",100%
77,Immaculate,"$35,340,015","$15,671,307",44.3%,"$19,668,708",55.7%
78,Monkey Man,"$35,271,631","$25,116,955",71.2%,"$10,154,676",28.8%
79,Anora,"$33,520,689","$14,847,204",44.3%,"$18,673,485",55.7%
80,Doraemon the Movie: Nobita's Earth Symphony,"$33,399,912",-,-,"$33,399,912",100%
81,The Watchers,"$33,271,404","$19,071,404",57.3%,"$14,200,000",42.7%
82,Borderlands,"$32,978,510","$15,482,668",46.9%,"$17,495,842",53.1%
83,Harold and the Purple Crayon,"$32,227,855","$17,640,924",54.7%,"$14,586,931",45.3%
84,My Hero Academia: You're Next,"$32,224,616","$5,041,781",15.6%,"$27,182,835",84.4%
85,Babygirl,"$31,141,381","$25,802,375",82.9%,"$5,339,006",17.1%
86,Pilot,"$30,917,972",-,-,"$30,917,972",100%
87,A Strange House,"$30,864,331",-,-,"$30,864,331",100%
88,Reagan,"$30,107,173","$30,047,417",99.8%,"$59,756",0.2%
89,Cells at Work!,"$29,928,046",-,-,"$29,928,046",100%
90,The Ministry of Ungentlemanly Warfare,"$29,715,044","$20,535,053",69.1%,"$9,179,991",30.9%
91,The Dark Knight Rises 2024 Re-release,"$29,686,991",-,-,"$29,686,991",100%
92,Chantal in Fairyland,"$29,663,607",-,-,"$29,663,607",100%
93,Harbin,"$28,084,354","$693,307",2.5%,"$27,391,047",97.5%
94,The Master and Margarita,"$28,019,936",-,-,"$28,019,936",100%
95,Wicked Little Letters,"$27,219,729","$5,008,179",18.4%,"$22,211,550",81.6%
96,Kalki 2898 AD,"$25,331,842","$18,289,575",72.2%,"$7,042,267",27.8%
97,School of Magical Animals 3,"$25,000,869",-,-,"$25,000,869",100%
98,The Crow,"$24,109,036","$9,275,659",38.5%,"$14,833,377",61.5%
99,The Firefighters,"$23,911,091",-,-,"$23,911,091",100%
100,Crayon Shin-chan: Ora's Dinosaur Diary,"$23,540,169",-,-,"$23,540,169",100%
